# Simulated JWST transit spectrum for NIRISS/SOSS, Order1, used for the retrievals in Espinoza & Jones (2021). If using this data, please 
# cite the paper.
#
# Column 0: Central wavelength (microns)
# Column 1: Transit depth (ppm)
# Column 2: Error on transit depth (ppm)
#
#
# Wav (um)   Transit depth    Error (ppm)
0.8585200000 10339.3150319537 14.2360199426
0.9070300000 10359.7604859860 12.4075707162
0.9555200000 10450.4970930372 11.1520826831
1.0040300000 10388.0727853344 10.3967490088
1.0525200000 10338.7479890684 9.9323998320
1.1010300000 10421.4737688159 9.8297742631
1.1495200000 10468.6539114582 9.6190800579
1.1980300000 10423.2743789334 9.7649512530
1.2465200000 10352.9513133703 10.0620130945
1.2950300000 10377.3371271832 10.4939038430
1.3435300000 10507.2665539421 10.9687109798
1.3920300000 10556.4800023639 11.4270602804
1.4405300000 10547.2347651620 12.5583100207
1.4890300000 10540.5248270885 12.8973677124
1.5375300000 10507.1410837993 13.4298768403
1.5860300000 10453.8893992001 14.1876747628
1.6345300000 10400.8170619338 14.9769385306
1.6830300000 10355.8533001601 15.4758569836
1.7315300000 10472.2502176220 16.7672685020
1.7800300000 10471.5730698752 17.0884486317
1.8285300000 10554.6778198652 18.0832630782
1.8770300000 10525.3914855635 19.7171164098
1.9255300000 10549.9314717355 20.2236558063
1.9740300000 10553.0693274045 21.3634827724
2.0225300000 10541.2506745727 21.7519158165
2.0710300000 10556.5671505191 22.3953239187
2.1195300000 10449.9608711703 23.4204686430
2.1680300000 10437.1382534942 24.3382128717
2.2165300000 10420.1192535312 25.2601483261
2.2650300000 10414.0370194483 26.4136406735
2.3135300000 10370.6166304273 27.5759381879
2.3620300000 10478.1586352383 28.8576734294
2.4105300000 10473.8122232584 30.1793186834
2.4590300000 10531.2233633866 31.8294193560
2.5075300000 10554.5704806940 32.9362017554
2.5560300000 10544.1208749949 34.5749912521
2.6045300000 10623.5729136472 35.8656700311
2.6530300000 10584.6545979719 37.6907130658
2.7015300000 10657.6234494596 39.2462420454
2.7500300000 10656.9935539846 40.9488484650
2.7917400000 10636.5633865306 50.6157788620
