# Simulated JWST limb spectra for NIRISS/SOSS, Order1, used for the retrievals in Espinoza & Jones (2021). If using this data, please 
# cite the paper.
#
# Column 0: Central wavelength (microns)
# Column 1: Limb depth 1 (ppm)
# Column 2: Error on limb depth 1 (ppm)
# Column 3: Limb depth 2 (ppm)
# Column 4: Error on limb depth 3 (ppm)
# Column 5: Covariance between the limb 1 and limb 2 (ppm squared)
#
#
# Wav (um)   Limb1 depth     Error (ppm)   Limb2 depth     Error (ppm)   Cov(Limb1, Limb2)
0.8585200000 5097.1977759956 44.1095619319 5175.0426176846 44.1095619319 38.2065511916
0.9070300000 5195.2310004808 38.4054261007 5211.7093256521 38.4054261007 28.5231636694
0.9555200000 5190.2784798246 34.4959644340 5249.9213286154 34.4959644340 22.7604004831
1.0040300000 5161.6810388553 32.1467552965 5257.3653766303 32.1467552965 19.6393368775
1.0525200000 5158.1381517662 30.7036040372 5236.1031835329 30.7036040372 17.8492317507
1.1010300000 5137.0164128395 30.3847615556 5281.9960503321 30.3847615556 17.4667915525
1.1495200000 5166.1709871477 29.7302877691 5310.5214477436 29.7302877691 16.6965771611
1.1980300000 5130.6947547476 30.1833861003 5276.0246307060 30.1833861003 17.2276834119
1.2465200000 5145.6047630214 31.1063489493 5194.0885688322 31.1063489493 18.3390638228
1.2950300000 5184.4830394286 32.4488038885 5236.1858917964 32.4488038885 20.0262537152
1.3435300000 5161.7097701442 33.9254543877 5266.4956305891 33.9254543877 21.9788562090
1.3920300000 5248.7279987418 35.3517148618 5316.5125924125 35.3517148618 23.9610696275
1.4405300000 5268.4525458764 38.8752079696 5395.5230164412 38.8752079696 29.2634819779
1.4890300000 5218.8635229213 39.9321978113 5289.7600257638 39.9321978113 30.9666944166
1.5375300000 5180.6942482780 41.5931276787 5322.8801833817 41.5931276787 33.7480664084
1.5860300000 5175.5941023098 43.9585801629 5222.6310686658 43.9585801629 37.9307423079
1.6345300000 5148.3127986667 46.4245472070 5300.2993164157 46.4245472070 42.5682997600
1.6830300000 5137.6149137732 47.9845734191 5214.7701772831 47.9845734191 45.6482469178
1.7315300000 5123.3251761560 52.0269501166 5260.0304724949 52.0269501166 54.1560801603
1.7800300000 5185.3670327958 53.0332899553 5288.7568192611 53.0332899553 56.3923329555
1.8285300000 5209.3936534334 56.1527889116 5238.2083104426 56.1527889116 63.6239802108
1.8770300000 5138.4459452744 61.2843593406 5227.1311933054 61.2843593406 76.5058800895
1.9255300000 5245.6890546232 62.8773652827 5299.7738854406 62.8773652827 80.7543201421
1.9740300000 5218.0659511376 66.4655974283 5284.9670816071 66.4655974283 90.7569823708
2.0225300000 5225.7621711974 67.6895497800 5346.6377037420 67.6895497800 94.3061338678
2.0710300000 5148.6453593184 69.7182134343 5292.8806789013 69.7182134343 100.3425039075
2.1195300000 5174.7496660413 72.9538111048 5273.7577933703 72.9538111048 110.3671262665
2.1680300000 5297.9585821879 75.8538998193 5221.2146225567 75.8538998193 119.7670541532
2.2165300000 5264.6364018147 78.7705481218 5168.2361352755 78.7705481218 129.6162145372
2.2650300000 5171.5670019242 82.4244510400 5149.5503001551 82.4244510400 142.5148855818
2.3135300000 5096.8549331623 86.1115505414 5191.3173675545 86.1115505414 156.1621282092
2.3620300000 5066.4887889578 90.1837395296 5210.7895545117 90.1837395296 171.9719844607
2.4105300000 5214.4121526303 94.3895735552 5370.9601931495 94.3895735552 189.1133030046
2.4590300000 5159.2159469595 99.6504559512 5335.7355773756 99.6504559512 211.7173606382
2.5075300000 5360.8944652464 103.1852607365 5265.4706286332 103.1852607365 227.6312268156
2.5560300000 5297.4266844582 108.4282797507 5353.0419610464 108.4282797507 252.3107598396
2.6045300000 5416.5957270012 112.5652748552 5408.2844632849 112.5652748552 272.6909731706
2.6530300000 5300.8472855715 118.4267079252 5291.0432713825 118.4267079252 302.9364393373
2.7015300000 5149.7679915329 123.4333910425 5302.6276732470 123.4333910425 330.0438846104
2.7500300000 5071.5567379744 128.9249775715 5369.5442806346 128.9249775715 361.1255573067
2.7917400000 5053.8739443578 160.3369373247 5306.7735647892 160.3369373247 566.0617287439
